index,sub_index,source,theme,all_messages,message_evaluation,Fatalism_DivineControl,Fatalism_Luck,Fatalism_Internality-R,Fatalism_General
3068,sub027,Human,Young Drivers,clarity_hum_yd_02_1,3,4.5,1.5,1.8,4.0
3185,sub027,Human,Young Drivers,clarity_hum_yd_03_1,2,4.5,1.5,1.8,4.0
3302,sub027,Human,Young Drivers,clarity_hum_yd_04_1,1,4.5,1.5,1.8,4.0
3419,sub027,Human,Young Drivers,clarity_hum_yd_05_1,4,4.5,1.5,1.8,4.0
27,sub028,AI,Migrant Workers,clarity_ai_mw_01_1 ,5,4.33,3.25,1.6,3.75
144,sub028,AI,Migrant Workers,clarity_ai_mw_02_1,3,4.33,3.25,1.6,3.75
261,sub028,AI,Migrant Workers,clarity_ai_mw_03_1,4,4.33,3.25,1.6,3.75
378,sub028,AI,Migrant Workers,clarity_ai_mw_04_1,3,4.33,3.25,1.6,3.75
495,sub028,AI,Migrant Workers,clarity_ai_mw_05_1,5,4.33,3.25,1.6,3.75
612,sub028,AI,Women Drivers,clarity_ai_wd_01_1,3,4.33,3.25,1.6,3.75
729,sub028,AI,Women Drivers,clarity_ai_wd_02_1,5,4.33,3.25,1.6,3.75
846,sub028,AI,Women Drivers,clarity_ai_wd_03_1,5,4.33,3.25,1.6,3.75
963,sub028,AI,Women Drivers,clarity_ai_wd_04_1,4,4.33,3.25,1.6,3.75
1080,sub028,AI,Women Drivers,clarity_ai_wd_05_1,5,4.33,3.25,1.6,3.75
1197,sub028,AI,Young Drivers,clarity_ai_yd_01_1,4,4.33,3.25,1.6,3.75
1314,sub028,AI,Young Drivers,clarity_ai_yd_02_1,5,4.33,3.25,1.6,3.75
1431,sub028,AI,Young Drivers,clarity_ai_yd_03_1,3,4.33,3.25,1.6,3.75
1548,sub028,AI,Young Drivers,clarity_ai_yd_04_1,5,4.33,3.25,1.6,3.75
1665,sub028,AI,Young Drivers,clarity_ai_yd_05_1,5,4.33,3.25,1.6,3.75
1782,sub028,Human,Migrant Workers,clarity_hum_mw_01_1,3,4.33,3.25,1.6,3.75
1899,sub028,Human,Migrant Workers,clarity_hum_mw_02_1,5,4.33,3.25,1.6,3.75
2016,sub028,Human,Migrant Workers,clarity_hum_mw_03_1,5,4.33,3.25,1.6,3.75
2133,sub028,Human,Migrant Workers,clarity_hum_mw_04_1,3,4.33,3.25,1.6,3.75
2250,sub028,Human,Migrant Workers,clarity_hum_mw_05_1,5,4.33,3.25,1.6,3.75
2367,sub028,Human,Women Drivers,clarity_hum_wd_01_1,5,4.33,3.25,1.6,3.75
2484,sub028,Human,Women Drivers,clarity_hum_wd_02_1,2,4.33,3.25,1.6,3.75
2601,sub028,Human,Women Drivers,clarity_hum_wd_03_1,3,4.33,3.25,1.6,3.75
2718,sub028,Human,Women Drivers,clarity_hum_wd_04_1,5,4.33,3.25,1.6,3.75
2835,sub028,Human,Women Drivers,clarity_hum_wd_05_1,5,4.33,3.25,1.6,3.75
2952,sub028,Human,Young Drivers,clarity_hum_yd_01_1,5,4.33,3.25,1.6,3.75
3069,sub028,Human,Young Drivers,clarity_hum_yd_02_1,4,4.33,3.25,1.6,3.75
3186,sub028,Human,Young Drivers,clarity_hum_yd_03_1,3,4.33,3.25,1.6,3.75
3303,sub028,Human,Young Drivers,clarity_hum_yd_04_1,4,4.33,3.25,1.6,3.75
3420,sub028,Human,Young Drivers,clarity_hum_yd_05_1,5,4.33,3.25,1.6,3.75
28,sub029,AI,Migrant Workers,clarity_ai_mw_01_1 ,3,4.0,3.75,2.4,3.75
145,sub029,AI,Migrant Workers,clarity_ai_mw_02_1,4,4.0,3.75,2.4,3.75
262,sub029,AI,Migrant Workers,clarity_ai_mw_03_1,5,4.0,3.75,2.4,3.75
379,sub029,AI,Migrant Workers,clarity_ai_mw_04_1,4,4.0,3.75,2.4,3.75
496,sub029,AI,Migrant Workers,clarity_ai_mw_05_1,5,4.0,3.75,2.4,3.75
613,sub029,AI,Women Drivers,clarity_ai_wd_01_1,4,4.0,3.75,2.4,3.75
730,sub029,AI,Women Drivers,clarity_ai_wd_02_1,5,4.0,3.75,2.4,3.75
847,sub029,AI,Women Drivers,clarity_ai_wd_03_1,4,4.0,3.75,2.4,3.75
964,sub029,AI,Women Drivers,clarity_ai_wd_04_1,5,4.0,3.75,2.4,3.75
1081,sub029,AI,Women Drivers,clarity_ai_wd_05_1,5,4.0,3.75,2.4,3.75
1198,sub029,AI,Young Drivers,clarity_ai_yd_01_1,5,4.0,3.75,2.4,3.75
1315,sub029,AI,Young Drivers,clarity_ai_yd_02_1,4,4.0,3.75,2.4,3.75
1432,sub029,AI,Young Drivers,clarity_ai_yd_03_1,5,4.0,3.75,2.4,3.75
1549,sub029,AI,Young Drivers,clarity_ai_yd_04_1,4,4.0,3.75,2.4,3.75
1666,sub029,AI,Young Drivers,clarity_ai_yd_05_1,4,4.0,3.75,2.4,3.75
1783,sub029,Human,Migrant Workers,clarity_hum_mw_01_1,5,4.0,3.75,2.4,3.75
1900,sub029,Human,Migrant Workers,clarity_hum_mw_02_1,5,4.0,3.75,2.4,3.75
2017,sub029,Human,Migrant Workers,clarity_hum_mw_03_1,5,4.0,3.75,2.4,3.75
2134,sub029,Human,Migrant Workers,clarity_hum_mw_04_1,5,4.0,3.75,2.4,3.75
2251,sub029,Human,Migrant Workers,clarity_hum_mw_05_1,4,4.0,3.75,2.4,3.75
2368,sub029,Human,Women Drivers,clarity_hum_wd_01_1,5,4.0,3.75,2.4,3.75
2485,sub029,Human,Women Drivers,clarity_hum_wd_02_1,5,4.0,3.75,2.4,3.75
2602,sub029,Human,Women Drivers,clarity_hum_wd_03_1,5,4.0,3.75,2.4,3.75
2719,sub029,Human,Women Drivers,clarity_hum_wd_04_1,5,4.0,3.75,2.4,3.75
2836,sub029,Human,Women Drivers,clarity_hum_wd_05_1,5,4.0,3.75,2.4,3.75
2953,sub029,Human,Young Drivers,clarity_hum_yd_01_1,5,4.0,3.75,2.4,3.75
3070,sub029,Human,Young Drivers,clarity_hum_yd_02_1,4,4.0,3.75,2.4,3.75
3187,sub029,Human,Young Drivers,clarity_hum_yd_03_1,5,4.0,3.75,2.4,3.75
3304,sub029,Human,Young Drivers,clarity_hum_yd_04_1,4,4.0,3.75,2.4,3.75
3421,sub029,Human,Young Drivers,clarity_hum_yd_05_1,5,4.0,3.75,2.4,3.75
29,sub030,AI,Migrant Workers,clarity_ai_mw_01_1 ,5,4.67,5.0,2.0,4.5
146,sub030,AI,Migrant Workers,clarity_ai_mw_02_1,5,4.67,5.0,2.0,4.5
263,sub030,AI,Migrant Workers,clarity_ai_mw_03_1,5,4.67,5.0,2.0,4.5
380,sub030,AI,Migrant Workers,clarity_ai_mw_04_1,5,4.67,5.0,2.0,4.5
497,sub030,AI,Migrant Workers,clarity_ai_mw_05_1,2,4.67,5.0,2.0,4.5
614,sub030,AI,Women Drivers,clarity_ai_wd_01_1,5,4.67,5.0,2.0,4.5
731,sub030,AI,Women Drivers,clarity_ai_wd_02_1,1,4.67,5.0,2.0,4.5
848,sub030,AI,Women Drivers,clarity_ai_wd_03_1,5,4.67,5.0,2.0,4.5
965,sub030,AI,Women Drivers,clarity_ai_wd_04_1,2,4.67,5.0,2.0,4.5
1082,sub030,AI,Women Drivers,clarity_ai_wd_05_1,4,4.67,5.0,2.0,4.5
1199,sub030,AI,Young Drivers,clarity_ai_yd_01_1,5,4.67,5.0,2.0,4.5
1316,sub030,AI,Young Drivers,clarity_ai_yd_02_1,4,4.67,5.0,2.0,4.5
1433,sub030,AI,Young Drivers,clarity_ai_yd_03_1,5,4.67,5.0,2.0,4.5
1550,sub030,AI,Young Drivers,clarity_ai_yd_04_1,1,4.67,5.0,2.0,4.5
1667,sub030,AI,Young Drivers,clarity_ai_yd_05_1,2,4.67,5.0,2.0,4.5
1784,sub030,Human,Migrant Workers,clarity_hum_mw_01_1,5,4.67,5.0,2.0,4.5
1901,sub030,Human,Migrant Workers,clarity_hum_mw_02_1,5,4.67,5.0,2.0,4.5
2018,sub030,Human,Migrant Workers,clarity_hum_mw_03_1,3,4.67,5.0,2.0,4.5
2135,sub030,Human,Migrant Workers,clarity_hum_mw_04_1,5,4.67,5.0,2.0,4.5
2252,sub030,Human,Migrant Workers,clarity_hum_mw_05_1,5,4.67,5.0,2.0,4.5
2369,sub030,Human,Women Drivers,clarity_hum_wd_01_1,5,4.67,5.0,2.0,4.5
2486,sub030,Human,Women Drivers,clarity_hum_wd_02_1,2,4.67,5.0,2.0,4.5
2603,sub030,Human,Women Drivers,clarity_hum_wd_03_1,2,4.67,5.0,2.0,4.5
2720,sub030,Human,Women Drivers,clarity_hum_wd_04_1,5,4.67,5.0,2.0,4.5
2837,sub030,Human,Women Drivers,clarity_hum_wd_05_1,5,4.67,5.0,2.0,4.5
2954,sub030,Human,Young Drivers,clarity_hum_yd_01_1,5,4.67,5.0,2.0,4.5
3071,sub030,Human,Young Drivers,clarity_hum_yd_02_1,1,4.67,5.0,2.0,4.5
3188,sub030,Human,Young Drivers,clarity_hum_yd_03_1,2,4.67,5.0,2.0,4.5
3305,sub030,Human,Young Drivers,clarity_hum_yd_04_1,1,4.67,5.0,2.0,4.5
3422,sub030,Human,Young Drivers,clarity_hum_yd_05_1,5,4.67,5.0,2.0,4.5
30,sub031,AI,Migrant Workers,clarity_ai_mw_01_1 ,1,2.83,2.75,2.6,1.5
147,sub031,AI,Migrant Workers,clarity_ai_mw_02_1,1,2.83,2.75,2.6,1.5
264,sub031,AI,Migrant Workers,clarity_ai_mw_03_1,3,2.83,2.75,2.6,1.5
381,sub031,AI,Migrant Workers,clarity_ai_mw_04_1,3,2.83,2.75,2.6,1.5
498,sub031,AI,Migrant Workers,clarity_ai_mw_05_1,2,2.83,2.75,2.6,1.5
615,sub031,AI,Women Drivers,clarity_ai_wd_01_1,1,2.83,2.75,2.6,1.5
732,sub031,AI,Women Drivers,clarity_ai_wd_02_1,1,2.83,2.75,2.6,1.5
849,sub031,AI,Women Drivers,clarity_ai_wd_03_1,3,2.83,2.75,2.6,1.5
966,sub031,AI,Women Drivers,clarity_ai_wd_04_1,3,2.83,2.75,2.6,1.5
1083,sub031,AI,Women Drivers,clarity_ai_wd_05_1,3,2.83,2.75,2.6,1.5
1200,sub031,AI,Young Drivers,clarity_ai_yd_01_1,3,2.83,2.75,2.6,1.5
1317,sub031,AI,Young Drivers,clarity_ai_yd_02_1,4,2.83,2.75,2.6,1.5
1434,sub031,AI,Young Drivers,clarity_ai_yd_03_1,3,2.83,2.75,2.6,1.5
1551,sub031,AI,Young Drivers,clarity_ai_yd_04_1,5,2.83,2.75,2.6,1.5
1668,sub031,AI,Young Drivers,clarity_ai_yd_05_1,5,2.83,2.75,2.6,1.5
1785,sub031,Human,Migrant Workers,clarity_hum_mw_01_1,5,2.83,2.75,2.6,1.5
1902,sub031,Human,Migrant Workers,clarity_hum_mw_02_1,4,2.83,2.75,2.6,1.5
2019,sub031,Human,Migrant Workers,clarity_hum_mw_03_1,1,2.83,2.75,2.6,1.5
2136,sub031,Human,Migrant Workers,clarity_hum_mw_04_1,2,2.83,2.75,2.6,1.5
2253,sub031,Human,Migrant Workers,clarity_hum_mw_05_1,3,2.83,2.75,2.6,1.5
2370,sub031,Human,Women Drivers,clarity_hum_wd_01_1,3,2.83,2.75,2.6,1.5
2487,sub031,Human,Women Drivers,clarity_hum_wd_02_1,1,2.83,2.75,2.6,1.5
2604,sub031,Human,Women Drivers,clarity_hum_wd_03_1,1,2.83,2.75,2.6,1.5
2721,sub031,Human,Women Drivers,clarity_hum_wd_04_1,5,2.83,2.75,2.6,1.5
2838,sub031,Human,Women Drivers,clarity_hum_wd_05_1,4,2.83,2.75,2.6,1.5
2955,sub031,Human,Young Drivers,clarity_hum_yd_01_1,3,2.83,2.75,2.6,1.5
3072,sub031,Human,Young Drivers,clarity_hum_yd_02_1,1,2.83,2.75,2.6,1.5
3189,sub031,Human,Young Drivers,clarity_hum_yd_03_1,1,2.83,2.75,2.6,1.5
3306,sub031,Human,Young Drivers,clarity_hum_yd_04_1,5,2.83,2.75,2.6,1.5
3423,sub031,Human,Young Drivers,clarity_hum_yd_05_1,3,2.83,2.75,2.6,1.5
31,sub032,AI,Migrant Workers,clarity_ai_mw_01_1 ,3,2.5,2.25,4.2,2.25
148,sub032,AI,Migrant Workers,clarity_ai_mw_02_1,4,2.5,2.25,4.2,2.25
265,sub032,AI,Migrant Workers,clarity_ai_mw_03_1,5,2.5,2.25,4.2,2.25
382,sub032,AI,Migrant Workers,clarity_ai_mw_04_1,3,2.5,2.25,4.2,2.25
499,sub032,AI,Migrant Workers,clarity_ai_mw_05_1,2,2.5,2.25,4.2,2.25
616,sub032,AI,Women Drivers,clarity_ai_wd_01_1,1,2.5,2.25,4.2,2.25
733,sub032,AI,Women Drivers,clarity_ai_wd_02_1,2,2.5,2.25,4.2,2.25
850,sub032,AI,Women Drivers,clarity_ai_wd_03_1,2,2.5,2.25,4.2,2.25
967,sub032,AI,Women Drivers,clarity_ai_wd_04_1,2,2.5,2.25,4.2,2.25
1084,sub032,AI,Women Drivers,clarity_ai_wd_05_1,2,2.5,2.25,4.2,2.25
1201,sub032,AI,Young Drivers,clarity_ai_yd_01_1,4,2.5,2.25,4.2,2.25
1318,sub032,AI,Young Drivers,clarity_ai_yd_02_1,3,2.5,2.25,4.2,2.25
1435,sub032,AI,Young Drivers,clarity_ai_yd_03_1,2,2.5,2.25,4.2,2.25
1552,sub032,AI,Young Drivers,clarity_ai_yd_04_1,2,2.5,2.25,4.2,2.25
1669,sub032,AI,Young Drivers,clarity_ai_yd_05_1,3,2.5,2.25,4.2,2.25
1786,sub032,Human,Migrant Workers,clarity_hum_mw_01_1,4,2.5,2.25,4.2,2.25
1903,sub032,Human,Migrant Workers,clarity_hum_mw_02_1,4,2.5,2.25,4.2,2.25
2020,sub032,Human,Migrant Workers,clarity_hum_mw_03_1,2,2.5,2.25,4.2,2.25
2137,sub032,Human,Migrant Workers,clarity_hum_mw_04_1,3,2.5,2.25,4.2,2.25
2254,sub032,Human,Migrant Workers,clarity_hum_mw_05_1,1,2.5,2.25,4.2,2.25
2371,sub032,Human,Women Drivers,clarity_hum_wd_01_1,1,2.5,2.25,4.2,2.25
2488,sub032,Human,Women Drivers,clarity_hum_wd_02_1,1,2.5,2.25,4.2,2.25
2605,sub032,Human,Women Drivers,clarity_hum_wd_03_1,2,2.5,2.25,4.2,2.25
2722,sub032,Human,Women Drivers,clarity_hum_wd_04_1,3,2.5,2.25,4.2,2.25
2839,sub032,Human,Women Drivers,clarity_hum_wd_05_1,4,2.5,2.25,4.2,2.25
2956,sub032,Human,Young Drivers,clarity_hum_yd_01_1,3,2.5,2.25,4.2,2.25
3073,sub032,Human,Young Drivers,clarity_hum_yd_02_1,2,2.5,2.25,4.2,2.25
3190,sub032,Human,Young Drivers,clarity_hum_yd_03_1,2,2.5,2.25,4.2,2.25
3307,sub032,Human,Young Drivers,clarity_hum_yd_04_1,1,2.5,2.25,4.2,2.25
3424,sub032,Human,Young Drivers,clarity_hum_yd_05_1,4,2.5,2.25,4.2,2.25
32,sub033,AI,Migrant Workers,clarity_ai_mw_01_1 ,5,2.0,1.5,5.0,1.5
149,sub033,AI,Migrant Workers,clarity_ai_mw_02_1,3,2.0,1.5,5.0,1.5
266,sub033,AI,Migrant Workers,clarity_ai_mw_03_1,1,2.0,1.5,5.0,1.5
383,sub033,AI,Migrant Workers,clarity_ai_mw_04_1,3,2.0,1.5,5.0,1.5
500,sub033,AI,Migrant Workers,clarity_ai_mw_05_1,3,2.0,1.5,5.0,1.5
617,sub033,AI,Women Drivers,clarity_ai_wd_01_1,5,2.0,1.5,5.0,1.5
734,sub033,AI,Women Drivers,clarity_ai_wd_02_1,4,2.0,1.5,5.0,1.5
851,sub033,AI,Women Drivers,clarity_ai_wd_03_1,2,2.0,1.5,5.0,1.5
968,sub033,AI,Women Drivers,clarity_ai_wd_04_1,1,2.0,1.5,5.0,1.5
1085,sub033,AI,Women Drivers,clarity_ai_wd_05_1,2,2.0,1.5,5.0,1.5
1202,sub033,AI,Young Drivers,clarity_ai_yd_01_1,5,2.0,1.5,5.0,1.5
1319,sub033,AI,Young Drivers,clarity_ai_yd_02_1,1,2.0,1.5,5.0,1.5
1436,sub033,AI,Young Drivers,clarity_ai_yd_03_1,5,2.0,1.5,5.0,1.5
1553,sub033,AI,Young Drivers,clarity_ai_yd_04_1,5,2.0,1.5,5.0,1.5
1670,sub033,AI,Young Drivers,clarity_ai_yd_05_1,5,2.0,1.5,5.0,1.5
1787,sub033,Human,Migrant Workers,clarity_hum_mw_01_1,5,2.0,1.5,5.0,1.5
1904,sub033,Human,Migrant Workers,clarity_hum_mw_02_1,4,2.0,1.5,5.0,1.5
2021,sub033,Human,Migrant Workers,clarity_hum_mw_03_1,5,2.0,1.5,5.0,1.5
2138,sub033,Human,Migrant Workers,clarity_hum_mw_04_1,5,2.0,1.5,5.0,1.5
2255,sub033,Human,Migrant Workers,clarity_hum_mw_05_1,5,2.0,1.5,5.0,1.5
2372,sub033,Human,Women Drivers,clarity_hum_wd_01_1,5,2.0,1.5,5.0,1.5
2489,sub033,Human,Women Drivers,clarity_hum_wd_02_1,1,2.0,1.5,5.0,1.5
2606,sub033,Human,Women Drivers,clarity_hum_wd_03_1,5,2.0,1.5,5.0,1.5
2723,sub033,Human,Women Drivers,clarity_hum_wd_04_1,5,2.0,1.5,5.0,1.5
2840,sub033,Human,Women Drivers,clarity_hum_wd_05_1,3,2.0,1.5,5.0,1.5
2957,sub033,Human,Young Drivers,clarity_hum_yd_01_1,5,2.0,1.5,5.0,1.5
3074,sub033,Human,Young Drivers,clarity_hum_yd_02_1,1,2.0,1.5,5.0,1.5
3191,sub033,Human,Young Drivers,clarity_hum_yd_03_1,5,2.0,1.5,5.0,1.5
3308,sub033,Human,Young Drivers,clarity_hum_yd_04_1,5,2.0,1.5,5.0,1.5
3425,sub033,Human,Young Drivers,clarity_hum_yd_05_1,5,2.0,1.5,5.0,1.5
33,sub034,AI,Migrant Workers,clarity_ai_mw_01_1 ,5,3.33,3.5,2.2,2.25
150,sub034,AI,Migrant Workers,clarity_ai_mw_02_1,5,3.33,3.5,2.2,2.25
267,sub034,AI,Migrant Workers,clarity_ai_mw_03_1,3,3.33,3.5,2.2,2.25
384,sub034,AI,Migrant Workers,clarity_ai_mw_04_1,5,3.33,3.5,2.2,2.25
501,sub034,AI,Migrant Workers,clarity_ai_mw_05_1,3,3.33,3.5,2.2,2.25
618,sub034,AI,Women Drivers,clarity_ai_wd_01_1,5,3.33,3.5,2.2,2.25
735,sub034,AI,Women Drivers,clarity_ai_wd_02_1,3,3.33,3.5,2.2,2.25
852,sub034,AI,Women Drivers,clarity_ai_wd_03_1,3,3.33,3.5,2.2,2.25
969,sub034,AI,Women Drivers,clarity_ai_wd_04_1,5,3.33,3.5,2.2,2.25
1086,sub034,AI,Women Drivers,clarity_ai_wd_05_1,5,3.33,3.5,2.2,2.25
1203,sub034,AI,Young Drivers,clarity_ai_yd_01_1,5,3.33,3.5,2.2,2.25
1320,sub034,AI,Young Drivers,clarity_ai_yd_02_1,2,3.33,3.5,2.2,2.25
1437,sub034,AI,Young Drivers,clarity_ai_yd_03_1,3,3.33,3.5,2.2,2.25
1554,sub034,AI,Young Drivers,clarity_ai_yd_04_1,4,3.33,3.5,2.2,2.25
1671,sub034,AI,Young Drivers,clarity_ai_yd_05_1,5,3.33,3.5,2.2,2.25
1788,sub034,Human,Migrant Workers,clarity_hum_mw_01_1,4,3.33,3.5,2.2,2.25
1905,sub034,Human,Migrant Workers,clarity_hum_mw_02_1,5,3.33,3.5,2.2,2.25
2022,sub034,Human,Migrant Workers,clarity_hum_mw_03_1,3,3.33,3.5,2.2,2.25
2139,sub034,Human,Migrant Workers,clarity_hum_mw_04_1,4,3.33,3.5,2.2,2.25
2256,sub034,Human,Migrant Workers,clarity_hum_mw_05_1,4,3.33,3.5,2.2,2.25
2373,sub034,Human,Women Drivers,clarity_hum_wd_01_1,4,3.33,3.5,2.2,2.25
2490,sub034,Human,Women Drivers,clarity_hum_wd_02_1,4,3.33,3.5,2.2,2.25
2607,sub034,Human,Women Drivers,clarity_hum_wd_03_1,4,3.33,3.5,2.2,2.25
2724,sub034,Human,Women Drivers,clarity_hum_wd_04_1,4,3.33,3.5,2.2,2.25
2841,sub034,Human,Women Drivers,clarity_hum_wd_05_1,5,3.33,3.5,2.2,2.25
2958,sub034,Human,Young Drivers,clarity_hum_yd_01_1,3,3.33,3.5,2.2,2.25
3075,sub034,Human,Young Drivers,clarity_hum_yd_02_1,4,3.33,3.5,2.2,2.25
3192,sub034,Human,Young Drivers,clarity_hum_yd_03_1,5,3.33,3.5,2.2,2.25
3309,sub034,Human,Young Drivers,clarity_hum_yd_04_1,3,3.33,3.5,2.2,2.25
3426,sub034,Human,Young Drivers,clarity_hum_yd_05_1,5,3.33,3.5,2.2,2.25
34,sub035,AI,Migrant Workers,clarity_ai_mw_01_1 ,5,4.17,4.25,1.2,3.5
151,sub035,AI,Migrant Workers,clarity_ai_mw_02_1,5,4.17,4.25,1.2,3.5
268,sub035,AI,Migrant Workers,clarity_ai_mw_03_1,4,4.17,4.25,1.2,3.5
385,sub035,AI,Migrant Workers,clarity_ai_mw_04_1,5,4.17,4.25,1.2,3.5
502,sub035,AI,Migrant Workers,clarity_ai_mw_05_1,4,4.17,4.25,1.2,3.5
619,sub035,AI,Women Drivers,clarity_ai_wd_01_1,4,4.17,4.25,1.2,3.5
736,sub035,AI,Women Drivers,clarity_ai_wd_02_1,4,4.17,4.25,1.2,3.5
853,sub035,AI,Women Drivers,clarity_ai_wd_03_1,4,4.17,4.25,1.2,3.5
970,sub035,AI,Women Drivers,clarity_ai_wd_04_1,4,4.17,4.25,1.2,3.5
1087,sub035,AI,Women Drivers,clarity_ai_wd_05_1,5,4.17,4.25,1.2,3.5
1204,sub035,AI,Young Drivers,clarity_ai_yd_01_1,5,4.17,4.25,1.2,3.5
1321,sub035,AI,Young Drivers,clarity_ai_yd_02_1,5,4.17,4.25,1.2,3.5
1438,sub035,AI,Young Drivers,clarity_ai_yd_03_1,5,4.17,4.25,1.2,3.5
1555,sub035,AI,Young Drivers,clarity_ai_yd_04_1,5,4.17,4.25,1.2,3.5
1672,sub035,AI,Young Drivers,clarity_ai_yd_05_1,4,4.17,4.25,1.2,3.5
1789,sub035,Human,Migrant Workers,clarity_hum_mw_01_1,5,4.17,4.25,1.2,3.5
1906,sub035,Human,Migrant Workers,clarity_hum_mw_02_1,5,4.17,4.25,1.2,3.5
2023,sub035,Human,Migrant Workers,clarity_hum_mw_03_1,4,4.17,4.25,1.2,3.5
2140,sub035,Human,Migrant Workers,clarity_hum_mw_04_1,4,4.17,4.25,1.2,3.5
2257,sub035,Human,Migrant Workers,clarity_hum_mw_05_1,5,4.17,4.25,1.2,3.5
2374,sub035,Human,Women Drivers,clarity_hum_wd_01_1,5,4.17,4.25,1.2,3.5
2491,sub035,Human,Women Drivers,clarity_hum_wd_02_1,3,4.17,4.25,1.2,3.5
2608,sub035,Human,Women Drivers,clarity_hum_wd_03_1,4,4.17,4.25,1.2,3.5
2725,sub035,Human,Women Drivers,clarity_hum_wd_04_1,4,4.17,4.25,1.2,3.5
2842,sub035,Human,Women Drivers,clarity_hum_wd_05_1,5,4.17,4.25,1.2,3.5
2959,sub035,Human,Young Drivers,clarity_hum_yd_01_1,5,4.17,4.25,1.2,3.5
3076,sub035,Human,Young Drivers,clarity_hum_yd_02_1,5,4.17,4.25,1.2,3.5
3193,sub035,Human,Young Drivers,clarity_hum_yd_03_1,4,4.17,4.25,1.2,3.5
3310,sub035,Human,Young Drivers,clarity_hum_yd_04_1,5,4.17,4.25,1.2,3.5
3427,sub035,Human,Young Drivers,clarity_hum_yd_05_1,5,4.17,4.25,1.2,3.5
35,sub036,AI,Migrant Workers,clarity_ai_mw_01_1 ,3,4.83,5.0,1.0,5.0
152,sub036,AI,Migrant Workers,clarity_ai_mw_02_1,3,4.83,5.0,1.0,5.0
269,sub036,AI,Migrant Workers,clarity_ai_mw_03_1,5,4.83,5.0,1.0,5.0
386,sub036,AI,Migrant Workers,clarity_ai_mw_04_1,5,4.83,5.0,1.0,5.0
503,sub036,AI,Migrant Workers,clarity_ai_mw_05_1,5,4.83,5.0,1.0,5.0
620,sub036,AI,Women Drivers,clarity_ai_wd_01_1,5,4.83,5.0,1.0,5.0
737,sub036,AI,Women Drivers,clarity_ai_wd_02_1,5,4.83,5.0,1.0,5.0
854,sub036,AI,Women Drivers,clarity_ai_wd_03_1,5,4.83,5.0,1.0,5.0
971,sub036,AI,Women Drivers,clarity_ai_wd_04_1,5,4.83,5.0,1.0,5.0
1088,sub036,AI,Women Drivers,clarity_ai_wd_05_1,5,4.83,5.0,1.0,5.0
1205,sub036,AI,Young Drivers,clarity_ai_yd_01_1,5,4.83,5.0,1.0,5.0
1322,sub036,AI,Young Drivers,clarity_ai_yd_02_1,5,4.83,5.0,1.0,5.0
1439,sub036,AI,Young Drivers,clarity_ai_yd_03_1,5,4.83,5.0,1.0,5.0
1556,sub036,AI,Young Drivers,clarity_ai_yd_04_1,5,4.83,5.0,1.0,5.0
1673,sub036,AI,Young Drivers,clarity_ai_yd_05_1,3,4.83,5.0,1.0,5.0
1790,sub036,Human,Migrant Workers,clarity_hum_mw_01_1,3,4.83,5.0,1.0,5.0
1907,sub036,Human,Migrant Workers,clarity_hum_mw_02_1,3,4.83,5.0,1.0,5.0
2024,sub036,Human,Migrant Workers,clarity_hum_mw_03_1,5,4.83,5.0,1.0,5.0
2141,sub036,Human,Migrant Workers,clarity_hum_mw_04_1,3,4.83,5.0,1.0,5.0
2258,sub036,Human,Migrant Workers,clarity_hum_mw_05_1,5,4.83,5.0,1.0,5.0
2375,sub036,Human,Women Drivers,clarity_hum_wd_01_1,5,4.83,5.0,1.0,5.0
2492,sub036,Human,Women Drivers,clarity_hum_wd_02_1,5,4.83,5.0,1.0,5.0
2609,sub036,Human,Women Drivers,clarity_hum_wd_03_1,5,4.83,5.0,1.0,5.0
2726,sub036,Human,Women Drivers,clarity_hum_wd_04_1,5,4.83,5.0,1.0,5.0
2843,sub036,Human,Women Drivers,clarity_hum_wd_05_1,5,4.83,5.0,1.0,5.0
2960,sub036,Human,Young Drivers,clarity_hum_yd_01_1,5,4.83,5.0,1.0,5.0
3077,sub036,Human,Young Drivers,clarity_hum_yd_02_1,3,4.83,5.0,1.0,5.0
3194,sub036,Human,Young Drivers,clarity_hum_yd_03_1,5,4.83,5.0,1.0,5.0
3311,sub036,Human,Young Drivers,clarity_hum_yd_04_1,5,4.83,5.0,1.0,5.0
3428,sub036,Human,Young Drivers,clarity_hum_yd_05_1,5,4.83,5.0,1.0,5.0
36,sub037,AI,Migrant Workers,clarity_ai_mw_01_1 ,5,5.0,2.75,2.0,4.75
153,sub037,AI,Migrant Workers,clarity_ai_mw_02_1,3,5.0,2.75,2.0,4.75
270,sub037,AI,Migrant Workers,clarity_ai_mw_03_1,4,5.0,2.75,2.0,4.75
387,sub037,AI,Migrant Workers,clarity_ai_mw_04_1,5,5.0,2.75,2.0,4.75
504,sub037,AI,Migrant Workers,clarity_ai_mw_05_1,5,5.0,2.75,2.0,4.75
621,sub037,AI,Women Drivers,clarity_ai_wd_01_1,5,5.0,2.75,2.0,4.75
738,sub037,AI,Women Drivers,clarity_ai_wd_02_1,2,5.0,2.75,2.0,4.75
855,sub037,AI,Women Drivers,clarity_ai_wd_03_1,5,5.0,2.75,2.0,4.75
972,sub037,AI,Women Drivers,clarity_ai_wd_04_1,3,5.0,2.75,2.0,4.75
